molecule_chembl_id,M,N
CHEMBL100652,1,3705
CHEMBL100656,1,3705
CHEMBL100659,1,3705
CHEMBL10066,1,3705
CHEMBL100661,1,3705
CHEMBL100666,2,3705
CHEMBL10067,1,3705
CHEMBL100671,1,3705
CHEMBL100672,2,3705
CHEMBL100675,1,3705
CHEMBL100678,1,3705
CHEMBL10068,1,3705
CHEMBL100685,2,3705
CHEMBL100691,1,3705
CHEMBL100694,1,3705
CHEMBL100697,1,3705
CHEMBL1007,3,3705
CHEMBL100700,1,3705
CHEMBL100702,2,3705
CHEMBL100703,1,3705
CHEMBL100709,1,3705
CHEMBL100712,2,3705
CHEMBL100714,4,3705
CHEMBL100715,1,3705
CHEMBL100717,1,3705
CHEMBL100718,1,3705
CHEMBL10072,1,3705
CHEMBL100721,1,3705
CHEMBL100722,1,3705
CHEMBL100724,1,3705
CHEMBL100727,1,3705
CHEMBL100729,3,3705
CHEMBL100732,2,3705
CHEMBL100733,3,3705
CHEMBL100735,1,3705
CHEMBL100736,1,3705
CHEMBL100739,1,3705
CHEMBL100741,1,3705
CHEMBL100748,3,3705
CHEMBL100749,2,3705
CHEMBL100751,2,3705
CHEMBL100754,3,3705
CHEMBL100755,1,3705
CHEMBL100757,3,3705
CHEMBL100760,3,3705
CHEMBL100761,1,3705
CHEMBL100762,1,3705
CHEMBL100763,2,3705
CHEMBL100764,1,3705
CHEMBL100765,1,3705
CHEMBL100769,2,3705
CHEMBL100773,1,3705
CHEMBL100774,2,3705
CHEMBL100775,1,3705
CHEMBL100776,2,3705
CHEMBL100777,4,3705
CHEMBL100779,2,3705
CHEMBL100780,1,3705
CHEMBL100788,4,3705
CHEMBL100789,2,3705
CHEMBL10079,2,3705
CHEMBL100790,1,3705
CHEMBL100795,1,3705
CHEMBL100799,1,3705
CHEMBL1008,5,3705
CHEMBL10080,1,3705
CHEMBL100800,1,3705
CHEMBL100801,1,3705
CHEMBL100802,4,3705
CHEMBL100804,1,3705
CHEMBL100805,5,3705
CHEMBL100811,1,3705
CHEMBL100814,1,3705
CHEMBL100818,2,3705
CHEMBL100819,1,3705
CHEMBL10082,1,3705
CHEMBL100820,1,3705
CHEMBL100825,1,3705
CHEMBL100826,1,3705
CHEMBL100827,1,3705
CHEMBL100830,1,3705
CHEMBL100831,1,3705
CHEMBL100832,1,3705
CHEMBL100835,1,3705
CHEMBL100842,1,3705
CHEMBL100848,2,3705
CHEMBL10085,12,3705
CHEMBL100852,1,3705
CHEMBL100854,1,3705
CHEMBL100860,3,3705
CHEMBL100862,1,3705
CHEMBL100872,1,3705
CHEMBL100873,2,3705
CHEMBL100875,2,3705
CHEMBL100876,2,3705
CHEMBL100878,3,3705
CHEMBL100879,3,3705
CHEMBL100883,1,3705
CHEMBL10089,1,3705
CHEMBL100890,1,3705
CHEMBL100893,2,3705
CHEMBL100895,1,3705
CHEMBL1009,8,3705
CHEMBL10090,1,3705
CHEMBL100906,3,3705
CHEMBL10091,1,3705
CHEMBL100911,2,3705
CHEMBL100912,1,3705
CHEMBL100913,1,3705
CHEMBL100914,1,3705
CHEMBL10092,2,3705
CHEMBL100924,2,3705
CHEMBL100927,2,3705
CHEMBL100928,1,3705
CHEMBL100929,1,3705
CHEMBL100933,4,3705
CHEMBL100935,1,3705
CHEMBL100936,1,3705
CHEMBL100937,1,3705
CHEMBL100938,3,3705
CHEMBL100940,1,3705
CHEMBL100941,2,3705
CHEMBL100945,1,3705
CHEMBL100946,1,3705
CHEMBL100947,1,3705
CHEMBL100949,1,3705
CHEMBL100950,4,3705
CHEMBL100952,1,3705
CHEMBL100954,2,3705
CHEMBL100958,1,3705
CHEMBL100965,1,3705
CHEMBL100966,1,3705
CHEMBL10097,1,3705
CHEMBL100970,2,3705
CHEMBL100972,1,3705
CHEMBL100979,2,3705
CHEMBL100986,1,3705
CHEMBL100989,2,3705
CHEMBL10099,2,3705
CHEMBL100993,1,3705
CHEMBL100994,1,3705
CHEMBL101,8,3705
CHEMBL1010,3,3705
CHEMBL101001,1,3705
CHEMBL101002,3,3705
CHEMBL101008,5,3705
CHEMBL101015,1,3705
CHEMBL101019,2,3705
CHEMBL10102,1,3705
CHEMBL101022,1,3705
CHEMBL101026,1,3705
CHEMBL101027,3,3705
CHEMBL101028,2,3705
CHEMBL101030,2,3705
CHEMBL101032,2,3705
CHEMBL101035,2,3705
CHEMBL101036,1,3705
CHEMBL101039,1,3705
CHEMBL101040,2,3705
CHEMBL101041,2,3705
CHEMBL101042,1,3705
CHEMBL101049,2,3705
CHEMBL10105,2,3705
CHEMBL101051,1,3705
CHEMBL101052,1,3705
CHEMBL101054,2,3705
CHEMBL101055,4,3705
CHEMBL101056,2,3705
CHEMBL101058,2,3705
CHEMBL101062,1,3705
CHEMBL101063,2,3705
CHEMBL101067,1,3705
CHEMBL101069,2,3705
CHEMBL101072,2,3705
CHEMBL101074,1,3705
CHEMBL101075,2,3705
CHEMBL101076,2,3705
CHEMBL101080,1,3705
CHEMBL101081,1,3705
CHEMBL101083,2,3705
CHEMBL101097,1,3705
CHEMBL101098,1,3705
CHEMBL10110,2,3705
CHEMBL101108,2,3705
CHEMBL101113,1,3705
CHEMBL101118,3,3705
CHEMBL101119,2,3705
CHEMBL101121,5,3705
CHEMBL101123,3,3705
CHEMBL101125,2,3705
CHEMBL101132,1,3705
CHEMBL101135,2,3705
CHEMBL101138,3,3705
CHEMBL101141,5,3705
CHEMBL101145,5,3705
CHEMBL101147,2,3705
CHEMBL101148,1,3705
CHEMBL10115,1,3705
CHEMBL101155,2,3705
CHEMBL101156,2,3705
CHEMBL101157,2,3705
CHEMBL101160,1,3705
CHEMBL101162,2,3705
CHEMBL101165,2,3705
CHEMBL101166,1,3705
CHEMBL101167,1,3705
CHEMBL101168,4,3705
CHEMBL101173,1,3705
CHEMBL101174,2,3705
CHEMBL101177,1,3705
CHEMBL101181,2,3705
CHEMBL101182,5,3705
CHEMBL101183,3,3705
CHEMBL101187,1,3705
CHEMBL101189,2,3705
CHEMBL101190,3,3705
CHEMBL101196,3,3705
CHEMBL101203,1,3705
CHEMBL101207,1,3705
CHEMBL101208,2,3705
CHEMBL101210,4,3705
CHEMBL101212,3,3705
CHEMBL101218,2,3705
CHEMBL101220,2,3705
CHEMBL101221,1,3705
CHEMBL101227,1,3705
CHEMBL101230,1,3705
CHEMBL101231,3,3705
CHEMBL101233,1,3705
CHEMBL101237,1,3705
CHEMBL10124,2,3705
CHEMBL10125,1,3705
CHEMBL101250,3,3705
CHEMBL101253,19,3705
CHEMBL101258,1,3705
CHEMBL101261,3,3705
CHEMBL101270,1,3705
CHEMBL101278,1,3705
CHEMBL101285,4,3705
CHEMBL101286,1,3705
CHEMBL101288,1,3705
CHEMBL101300,2,3705
CHEMBL101302,3,3705
CHEMBL101306,1,3705
CHEMBL101308,7,3705
CHEMBL101309,4,3705
CHEMBL101310,1,3705
CHEMBL101311,40,3705
CHEMBL101316,4,3705
CHEMBL10132,1,3705
CHEMBL101322,1,3705
CHEMBL101323,1,3705
CHEMBL101324,1,3705
CHEMBL101325,1,3705
CHEMBL101326,2,3705
CHEMBL101327,1,3705
CHEMBL101328,1,3705
CHEMBL10133,1,3705
CHEMBL101330,3,3705
CHEMBL101332,3,3705
CHEMBL101333,1,3705
CHEMBL10134,1,3705
CHEMBL101340,2,3705
CHEMBL101341,3,3705
CHEMBL101347,1,3705
CHEMBL10135,1,3705
CHEMBL101352,1,3705
CHEMBL10136,1,3705
CHEMBL101360,1,3705
CHEMBL101361,3,3705
CHEMBL101365,1,3705
CHEMBL101367,2,3705
CHEMBL10137,1,3705
CHEMBL101370,1,3705
CHEMBL101371,1,3705
CHEMBL101381,1,3705
CHEMBL101382,2,3705
CHEMBL101383,2,3705
CHEMBL101389,1,3705
CHEMBL101391,1,3705
CHEMBL101396,1,3705
CHEMBL101399,2,3705
CHEMBL1014,6,3705
CHEMBL10140,1,3705
CHEMBL101401,1,3705
CHEMBL101407,1,3705
CHEMBL101409,1,3705
CHEMBL101411,3,3705
CHEMBL101413,4,3705
CHEMBL101416,2,3705
CHEMBL101419,1,3705
CHEMBL10142,1,3705
CHEMBL101420,1,3705
CHEMBL101421,1,3705
CHEMBL101422,1,3705
CHEMBL101424,2,3705
CHEMBL101425,2,3705
CHEMBL10143,1,3705
CHEMBL101431,2,3705
CHEMBL101436,1,3705
CHEMBL101438,1,3705
CHEMBL101439,1,3705
CHEMBL101442,3,3705
CHEMBL101443,1,3705
CHEMBL101448,4,3705
CHEMBL101454,3,3705
CHEMBL101455,1,3705
CHEMBL101456,2,3705
CHEMBL101457,1,3705
CHEMBL101461,1,3705
CHEMBL101463,1,3705
CHEMBL101464,1,3705
CHEMBL101468,2,3705
CHEMBL101469,1,3705
CHEMBL101472,1,3705
CHEMBL101473,2,3705
CHEMBL10148,1,3705
CHEMBL101483,1,3705
CHEMBL101485,2,3705
CHEMBL101487,1,3705
CHEMBL101492,1,3705
CHEMBL101493,1,3705
CHEMBL101496,1,3705
CHEMBL101497,2,3705
CHEMBL10150,1,3705
CHEMBL10151,1,3705
CHEMBL101510,4,3705
CHEMBL101512,1,3705
CHEMBL101516,3,3705
CHEMBL101518,2,3705
CHEMBL101519,3,3705
CHEMBL10152,1,3705
CHEMBL101520,1,3705
CHEMBL101521,3,3705
CHEMBL101528,2,3705
CHEMBL101535,2,3705
CHEMBL101539,1,3705
CHEMBL10154,1,3705
CHEMBL101540,1,3705
CHEMBL101542,1,3705
CHEMBL101544,1,3705
CHEMBL101545,5,3705
CHEMBL101547,1,3705
CHEMBL101554,1,3705
CHEMBL101557,1,3705
CHEMBL101558,1,3705
CHEMBL101559,2,3705
CHEMBL101563,2,3705
CHEMBL101565,1,3705
CHEMBL10157,1,3705
CHEMBL101571,1,3705
CHEMBL101572,1,3705
