acc,gene
Q9UKF2,ADAM30
Q8TC27,ADAM32
Q9BZ11,ADAM33
Q6NVV9,ADAM5
Q9H2U9,ADAM7
P78325,ADAM8
Q13443,ADAM9
O15204,ADAMDEC1
Q9UHI8,ADAMTS1
Q9H324,ADAMTS10
P58397,ADAMTS12
Q76LX8,ADAMTS13
Q8WXS8,ADAMTS14
Q8TE58,ADAMTS15
Q8TE57,ADAMTS16
Q8TE56,ADAMTS17
Q8TE60,ADAMTS18
Q8TE59,ADAMTS19
O95450,ADAMTS2
P59510,ADAMTS20
O15072,ADAMTS3
O75173,ADAMTS4
Q9UNA0,ADAMTS5
Q9UKP5,ADAMTS6
Q9UKP4,ADAMTS7
Q9UP79,ADAMTS8
Q9P2N4,ADAMTS9
Q8N6G6,ADAMTSL1
Q86TH1,ADAMTSL2
P82987,ADAMTSL3
Q6UY14,ADAMTSL4
Q5T5F5,ADAMTSL4-AS1
Q6ZMM2,ADAMTSL5
O75689,ADAP1
Q9NPF8,ADAP2
P55265,ADAR
P78563,ADARB1
Q9NS39,ADARB2
A8MUL3,ADARB2-AS1
Q9BUB4,ADAT1
Q7Z6V5,ADAT2
Q96EY9,ADAT3
Q86TW2,ADCK1
Q7Z695,ADCK2
Q3MIX3,ADCK5
Q08828,ADCY1
Q96PN6,ADCY10
Q08462,ADCY2
O60266,ADCY3
Q8NFM4,ADCY4
O95622,ADCY5
O43306,ADCY6
P51828,ADCY7
P40145,ADCY8
O60503,ADCY9
P18509,ADCYAP1
P41586,ADCYAP1R1
P35611,ADD1
P35612,ADD2
Q9UEY8,ADD3
Q8N7X0,ADGB
Q86SQ6,ADGRA1
Q96PE1,ADGRA2
Q8IWK6,ADGRA3
O14514,ADGRB1
O60241,ADGRB2
O60242,ADGRB3
Q6QNK2,ADGRD1
Q7Z7M1,ADGRD2
Q14246,ADGRE1
Q9UHX3,ADGRE2
Q9BY15,ADGRE3
Q86SQ3,ADGRE4P
P48960,ADGRE5
Q5T601,ADGRF1
Q8IZF7,ADGRF2
Q8IZF5,ADGRF3
Q8IZF3,ADGRF4
Q8IZF2,ADGRF5
Q9Y653,ADGRG1
Q8IZP9,ADGRG2
Q86Y34,ADGRG3
Q8IZF6,ADGRG4
Q8IZF4,ADGRG5
Q86SQ4,ADGRG6
Q96K78,ADGRG7
O94910,ADGRL1
O95490,ADGRL2
Q9HAR2,ADGRL3
Q9HBW9,ADGRL4
Q8WXG9,ADGRV1
P07327,ADH1A
P00325,ADH1B
P00326,ADH1C
P08319,ADH4
P11766,ADH5
P28332,ADH6
P40394,ADH7
Q8IWW8,ADHFE1
Q9BV57,ADI1
Q0VDE8,ADIG
Q15848,ADIPOQ
Q96A54,ADIPOR1
Q86V24,ADIPOR2
Q15847,ADIRF
P55263,ADK
P35318,ADM
Q7Z4H4,ADM2
C9JUS6,ADM5
Q9H2P0,ADNP
Q6IQ32,ADNP2
Q96SZ5,ADO
P30542,ADORA1
P29274,ADORA2A
P86434,ADORA2A-AS1
P29275,ADORA2B
P0DMS8,ADORA3
Q9BRR6,ADPGK
P54922,ADPRH
Q8NDY3,ADPRHL1
Q3LIE5,ADPRM
Q9NX46,ADPRS
P35348,ADRA1A
P35368,ADRA1B
P25100,ADRA1D
P08913,ADRA2A
P18089,ADRA2B
P18825,ADRA2C
P08588,ADRB1
P07550,ADRB2
P13945,ADRB3
Q16186,ADRM1
P30566,ADSL
Q8N142,ADSS1
P30520,ADSS2
Q96IZ2,ADTRP
Q8IUX7,AEBP1
Q6ZN18,AEBP2
Q8WTP8,AEN
Q8N556,AFAP1
Q8TED9,AFAP1L1
Q8N4X5,AFAP1L2
P55196,AFDN
Q9Y6Z5,AFDN-DT
P51825,AFF1
P51816,AFF2
P51826,AFF3
Q9UHB7,AFF4
Q8WV93,AFG1L
Q9Y4W6,AFG3L2
P43652,AFM
Q63HM1,AFMID
P02771,AFP
Q6ULP2,AFTPH
P20933,AGA
Q9UPQ3,AGAP1
Q8TF27,AGAP11
Q99490,AGAP2
Q96P47,AGAP3
Q96P64,AGAP4
A6NIR3,AGAP5
Q5VW22,AGAP6
Q5VUJ5,AGAP7P
Q5VTM2,AGAP9
Q96MI9,AGBL1
Q5U5Z8,AGBL2
Q8NEM8,AGBL3
Q5VU57,AGBL4
Q8NDL9,AGBL5
Q15109,AGER
P52594,AGFG1
O95081,AGFG2
